"size","type","path"
0,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW"
18168,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul"
0,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix"
0,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\video"
2773,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\HW_7_Task_1(7).py"
3248,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\HW_7_Task_2.py"
392,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\test.py"
0,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\filefvdvd.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\file_file.csv"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\file_test.bin"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\one-data_0000001.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\thr-data_0000002.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\two-data_0000003.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\1_image.jpeg"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\2_image.png"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\3_image.csv"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_one copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_test.bin"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_three copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_two copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\one-video.mp3"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\three-video.mkv"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\two-video.mp3"
6793,"directory","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__"
1817,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\generate_files.py"
821,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\rename_files.py"
1866,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\sort_files.py"
78,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__init__.py"
2885,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\generate_files.cpython-311.pyc"
1520,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\rename_files.cpython-311.pyc"
2110,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\sort_files.cpython-311.pyc"
278,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\__init__.cpython-311.pyc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\1_image.jpeg"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\2_image.png"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\3_image.csv"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file.doc"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_one copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_test.bin"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_three copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_two copy.txt"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\one-video.mp3"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\three-video.mkv"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\two-video.mp3"
0,"file","C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\video\one-video.mp3"
